ax,ay,az,label
0.03105,0.0667,-0.05195,4
0.1712,1.38315,-3.0772,3
-0.12805,0.0197,-0.0792,4
0.42745,2.6869,-3.78635,1
-0.224,0.1381,-0.34165,6
-1.96725,5.1969,0.4816,3
3.95425,-4.92595,-1.53365,3
-0.0306,-0.0903,0.07975,5
-2.58785,-0.75285,1.91595,1
-0.0458,0.025,0.19905,6
-0.33055,-0.14985,0.13075,5
-0.6249,1.77595,-0.38505,1
-0.2293,-1.68075,0.20415,2
0.02235,-0.03675,0.0016,4
-0.08805,0.0754,0.0641,6
1.03455,0.38585,-0.62615,2
-3.48585,-0.0614,0.821,3
4.4319,-2.03685,-1.6126,1
-0.0023,-0.0568,-0.0708,6
0.12325,-0.02585,0.0251,6
-1.35765,1.08455,-4.0779,1
-0.078,-1.1633,0.81045,1
-2.17275,-1.9502,1.4707,2
-0.26,-0.086,0.06135,5
0.65035,3.869,-4.4361,3
-0.0163,-0.2606,-0.01665,6
-0.1329,-0.0191,-0.1608,6
-2.47145,6.99325,8.3467,3
-3.7169,0.2464,8.78725,1
-0.41345,-3.13245,-2.12355,3
1.689,-0.30405,-2.5818,3
0.12345,0.07925,-0.06395,4
-0.52905,1.7881,-0.0565,2
0.03125,-0.0314,0.02795,6
-1.3556,-0.5783,0.57985,1
0.9958,2.58205,-4.1803,2
-0.05135,-0.0701,-0.0286,5
0.04395,1.78245,1.4255,1
-3.8968,-1.1583,1.5441,1
1.4606,3.6294,-8.0363,3
-0.81305,0.39805,-2.46445,1
-5.4347,-1.27085,0.27775,1
-0.67325,1.3202,0.7312,1
0.4041,1.8058,-2.92615,2
-0.1399,0.01365,-0.01435,4
-0.15815,0.01075,-0.0346,4
0.0106,0.0056,0.0835,5
1.5044,-0.0789,-0.95895,1
0.8851,-0.07845,0.21435,6
0.05785,0.04345,0.06565,4
1.2826,3.02015,-2.70855,3
-0.18455,-0.0063,0.0344,5
-6.18785,-1.2327,7.2572,1
0.1023,0.0597,0.00715,5
3.2385,-6.04195,-5.8159,1
0.12465,0.03855,0.07405,6
0.92105,4.9652,-4.74085,3
0.3233,2.05405,-3.19995,2
-0.0664,0.02755,-0.07395,6
-0.103,5.0593,3.7571,3
1.28525,1.2516,-3.29305,2
-0.9214,0.26335,-2.98315,2
-4.20885,-3.34885,-4.81375,2
0.1157,-4.3853,1.5268,1
-0.44545,1.586,-0.9643,1
0.26185,2.77505,1.69735,3
17.92785,-2.70315,8.2989,3
1.34235,2.1382,-3.01305,3
-0.07285,0.0033,0.00105,4
0.09215,-1.25645,0.61465,2
0.08025,0.0324,-0.0639,4
-0.0477,-0.00015,0.02165,6
0.14755,-0.03035,-0.028,6
-0.0408,0.0233,-0.03985,4
-2.0221,0.9439,-6.1242,1
0.47615,2.01425,0.13025,2
0.08625,-0.00025,-0.03795,5
0.0914,0.0616,-0.01575,6
0.1394,-0.0808,0.015,5
0.0854,-0.0573,0.03535,5
0.02165,0.0381,0.03015,4
0.1548,0.0206,-0.0565,4
-3.5832,-4.80475,-1.4403,2
0.06125,0.0028,-0.00665,4
-0.3004,0.03055,-0.1989,5
-4.07765,-0.49135,3.52325,1
0.16,0.06135,-0.0453,6
2.8073,2.22105,2.0947,3
-0.06455,-0.03715,-0.0102,5
-0.0754,-0.0685,0.0422,6
0.0874,0.8882,1.7451,1
4.5635,-0.21135,7.319,3
-0.0568,-0.06575,0.2049,5
16.0445,-6.8494,-6.0831,3
-0.00865,0.02885,-0.0135,4
1.77515,2.84325,-2.97335,1
-0.0187,-0.03745,-0.00205,6
0.10295,-0.03245,-0.1139,5
-1.60865,-1.79495,1.0095,1
0.0485,0.02795,-0.0041,4
0.1377,-0.02815,-0.0572,5
-0.48995,0.6347,-2.9363,1
-3.25515,-5.24195,0.5604,2
-0.19155,-0.0059,0.0191,4
4.65265,-2.33115,7.0642,3
-2.35145,-3.7825,5.3708,2
0.06325,-0.00545,0.0737,4
-1.5506,-1.51915,-5.9879,1
0.9753,-11.01045,-2.93845,1
-0.08425,-0.0445,-0.2405,4
-0.01395,-0.03855,0.02685,6
2.1567,-0.10125,-1.0185,2
-0.03795,-0.0695,0.09055,6
0.05645,-0.02225,-0.11015,5
2.93995,-3.89245,-2.51855,1
0.05995,-0.048,-0.05525,5
-3.0761,-0.5094,1.8714,1
3.41855,1.54555,-3.7192,1
3.921,-3.3474,-1.51635,3
-0.16955,-0.1265,-0.12455,4
-0.0295,-0.02055,0.0179,6
1.83155,-4.924,-5.5754,3
1.27895,-2.015,4.5216,2
0.00075,-0.1219,-0.0416,4
1.5235,4.09605,-3.8541,3
0.09135,-0.00975,-0.0461,5
-0.03005,-0.03375,-0.0641,4
-1.5497,-1.5234,-1.34175,2
2.7162,-3.1874,0.8882,2
1.1278,2.4002,-1.4015,2
0.18675,0.0042,-0.1229,5
7.0217,-9.39125,5.09365,3
0.02735,-0.02685,0.01735,4
0.0441,-0.07105,-0.0557,4
0.2666,2.1178,-0.3688,2
1.3836,-6.71035,-4.7964,1
2.3445,0.57465,-3.57425,1
0.03835,-0.02365,-0.03505,4
-0.8781,-4.63275,1.44875,3
0.0798,-0.04265,-0.05215,5
0.0205,0.02285,0.00355,6
10.80265,-9.5049,-5.86365,3
0.03565,-0.0088,0.0745,5
-0.0224,-0.0635,0.05895,6
-0.20625,-0.07095,0.06465,5
-0.9186,1.86395,0.16485,1
0.1405,-0.0805,0.06295,5
0.24395,0.05945,0.0208,5
-0.50555,-0.0247,0.20825,5
6.9458,2.5003,-2.0717,1
0.05625,0.0355,-0.0252,4
-0.03415,-0.03235,0.03415,6
-3.7783,0.52445,-2.2884,2
0.0316,-0.0457,0.28305,5
-1.1448,-0.445,-1.2628,1
-0.0462,-0.00225,-0.0127,4
2.45165,-1.38255,-1.26915,1
-0.1525,-0.0655,0.04925,6
-0.0153,-0.1246,0.13595,4
-0.0932,-0.0824,0.06235,6
0.00795,-0.019,-0.0951,4
0.02875,-0.1016,0.00885,4
2.68885,-1.9887,2.4586,1
-1.4364,0.3583,4.79825,2
0.06885,-0.01055,-0.0005,4
-1.13675,4.2975,-2.7965,3
2.6634,0.6795,-1.0488,1
-0.3273,-0.0226,0.04765,6
0.0603,-0.06575,0.0587,5
4.50505,-4.01,-1.97385,2
0.0009,-0.0186,-0.004,6
0.00705,-0.03075,-0.00705,6
-0.0659,0.0667,-0.0889,4
0.06195,-5.67335,-0.27935,2
-0.0832,-0.0518,0.0593,6
8.2983,-7.2495,-2.29305,3
0.07295,1E-04,-0.05925,5
-0.0522,0.00925,0.0201,4
-2.7064,-0.66465,3.2205,2
-0.1025,-0.0281,-0.0677,4
-5.3952,-1.966,5.0021,1
0.01945,0.00325,-0.0131,6
0.01205,0.00055,-0.12685,4
-0.0444,-0.03205,-0.00895,6
-3.5838,-2.07575,-0.3986,1
-2.88575,1.1086,7.11545,1
-0.30075,0.78815,-3.0176,1
0.0646,-0.0522,0.1203,5
0.54725,2.26015,3.5109,3
0.1016,-0.05605,0.09705,4
-1.8415,-1.1571,-0.64845,2
-3.36595,1.48615,-3.9188,3
0.0506,-0.0728,-0.0041,4
-1.42325,1.7423,-3.0164,1
-1.17165,3.3583,2.25165,3
-0.1324,-0.01535,0.17395,6
4.2119,1.5592,-3.5398,1
0.29655,-0.07515,-0.10285,6
0.365,-3.6271,-3.27845,2
4.9297,1.56665,-2.9445,1
1.056,2.9582,-4.24955,3
0.12295,-0.01405,-0.07255,4
1.8631,-5.0996,-3.7753,1
0.0003,-0.0203,0.05265,6
-0.04425,0.0332,-0.02,4
-0.81815,4.6804,-2.8475,3
0.20845,-0.06515,-0.18565,5
0.07185,-0.03655,0.1066,5
